legacy	candidate	commit	creatordate	status
0.0.2.0	v0.1.0	9b3ebb45940d540156dee8d6139da638a430910f	2017-10-25T04:58:57-02:00	ok
0.0.2.1	v0.1.1	dfa349732740007f785efd07bff6dced1570ff59	2017-10-25T05:20:32-02:00	ok
0.0.3.0	v0.2.0	dfc77b0bec3fa3671c11b162afb1b0b96b0a432b	2017-10-25T05:34:48-02:00	ok
0.0.4.0	v0.3.0	26046e2287efd5cfc422b13f9326f162dfc3a28e	2017-10-25T07:16:09-02:00	ok
0.0.5.0	v0.4.0	baa3ff07fab4bacb948e771f94967fbe8e59bfc8	2017-10-31T07:07:41-02:00	ok
0.0.7.0	v0.6.1	a178f59eb7bbd643d8fc8fc1df9e783cacb462d5	2018-05-26T14:24:53-03:00	ok
0.0.8.1	v0.7.1	c30fc42dbee3d638057a8288dde6bad9d426f34c	2018-06-01T04:25:15-03:00	ok
0.0.8.2	v0.8.0	82ac3c194365fd8ef1b7afef883e4132e42d26b0	2018-06-01T04:51:22-03:00	ok
0.0.8.3	v0.9.0	637701566a03761eab2b7b0fee5cdfaa7d0dcdd6	2018-06-10T02:22:19-03:00	ok
0.0.8.4	v0.17.0	9c1f7dc3057fce295e9934dce99be6b2e1ed917c	2018-06-10T15:29:28-03:00	ok
0.0.8.5	v0.18.0	c4fec4f1ac4e5c69c8fe1980b2f636e4a9e2625b	2018-06-10T18:35:28-03:00	ok
0.0.8.6	v0.19.0	9e7e2ba162597f9931e49a185d1b4ddc6b43d751	2018-06-10T20:13:50-03:00	ok
0.0.9.0	v0.10.0	5ba3f9fa409223e7ac291fcd568121947b48803f	2018-06-20T04:39:10-03:00	ok
0.0.9.1	v0.10.1	e1759e85daade706fb7aaf04c744003461a99e0f	2018-06-20T06:19:00-03:00	ok
0.0.9.2	v0.10.2	2e15064235e72d4ee382d57362abe0e9b12ee1fc	2018-06-20T06:20:54-03:00	ok
0.0.10.0	v0.21.0	f29f93ae1768a55ca33530c4b4ea5a5cbb6c36a4	2018-07-13T19:18:57-03:00	ok
0.0.10.1	v0.21.1	c9b4249a2ddb0abb2267d90c116f30b0228929ff	2018-07-13T19:26:44-03:00	ok
0.0.11.0	v0.22.0	3b9b00acde9164a2dbbec4313a750a030ecd1381	2018-07-22T01:12:55-03:00	ok
0.0.11.1	v0.22.1	086dd46d93207ef98b9d32fe62a3460382a70de2	2018-07-22T01:29:24-03:00	ok
0.0.11.2	v0.24.0	ba51db487c71061259060e3d83322de3283647cf	2018-08-24T11:42:12-03:00	ok
0.0.11.3	v0.11.0	c86ba86af698521846b1d0886afcf24ec722d353	2018-09-07T22:56:00-03:00	ok
0.0.11.4	v0.27.0	dbb423335e02da0012dd2299ab8623f918a7f784	2019-01-11T17:55:01-02:00	ok
0.0.11.5	v0.28.0	354be38ebaf1b09b4fa3c4399f221c427489b80d	2019-01-14T18:59:31-02:00	ok
0.0.11.6	v0.12.0	39da8f63b6f3a8c8abb61c99b072f258437f4d2c	2019-06-28T15:41:49-03:00	ok
0.0.11.8	v0.29.1	eacdb5932c3c51b9ef42c3ee49bf779c539d98d0	2019-07-16T16:27:41-03:00	ok
0.0.11.9	v0.13.0	1bec92abc18803704115b96441bca16a60867ab6	2019-07-23T22:25:40-03:00	ok
0.0.11.10	v0.30.0	c3aaf6f5a92af6d9564672997a5df0039ba56ae3	2019-08-20T18:47:06-03:00	ok
0.0.12.0	v0.31.0	1424a787f3608d1e4e7a490f3aa5adce36317d52	2019-08-26T15:55:54-03:00	ok
0.0.13.0	v0.32.1	d783ec2bb29eb5d5f5d442f6e7d383eae07d0c24	2019-09-01T01:00:09-03:00	ok
0.0.14.0	v0.33.0	0825b89d713ad4c951dbfa64daafc1a14fc2fc8f	2020-01-17T21:44:20-03:00	ok
0.1.0.0	v0.34.0	ae75c28df5fb662aa213dcac9a7f315c8934ea8d	2020-08-10T03:34:22-03:00	ok
0.1.0.1	v0.35.0	f6188f1ac30fe64f3dc3ba237dee2e7e47feea64	2020-08-10T15:38:29-03:00	ok
0.1.0.2	v0.35.1	2a44d21bbbe277ebdde5b73519e6f1123caaa3dd	2020-08-10T15:42:56-03:00	ok
0.1.1.0	v0.37.0	0af802d9ee6ee1ee3f8747da65a1d2c73f6d52d3	2020-08-19T02:22:46-03:00	ok
0.1.2.0	v0.38.0	cdb5c334b28db73635cd8c1f88cefec1ffb9d966	2020-08-26T00:36:13-03:00	ok
0.1.2.1	v0.39.0	fefb6f632f12f93f4800792399a3eaab5c619622	2020-08-28T03:26:03-03:00	ok
0.1.2.2	v0.39.1	42b4ebde3e4aaad1baa145d548331af20eb47de6	2020-08-29T17:29:23-03:00	ok
0.1.2.3	v0.39.2	2d0facadd3af5c4a33d0456910a5f844d5b71291	2020-08-30T04:12:16-03:00	ok
0.1.3.0	v0.40.0	f0ab9796109765b335a54237b24d4b19a73b1011	2020-09-01T04:36:05-03:00	ok
0.1.3.1	v0.41.0	42e608884e82df29ae294e727ad41a8f1060ed43	2020-09-02T04:38:12-03:00	ok
0.1.3.2	v0.43.0	06a28aef03b997e29517c003b9e9e5b4aa64baad	2020-09-02T13:38:30-03:00	ok
0.1.3.3	v0.44.0	c57fdfa428d0ac74d821ea544842f1fc636a46bd	2020-09-03T16:24:13-03:00	ok
0.1.4.0	v0.45.0	658957daf04bff234c529824c392c462a1cbb5d6	2020-09-09T05:08:44-03:00	ok
0.1.4.1	v0.46.0	8fa77e1029f669ebbb898fb4fdda8be9fecab153	2020-09-10T00:34:57-03:00	ok
0.1.5.0	v0.47.0	fbcefa83ceb2664c0610a3c5f514b915abb2144d	2020-09-11T01:11:50-03:00	ok
0.1.6.0	v0.48.0	e3374e47e0a6c91d8c76a30dc0f5ae5ce0f816ea	2020-09-13T15:31:45-03:00	ok
0.1.6.1	v0.49.0	d7d79fb99794d2341a9426e47d3ffc204aadc8ae	2020-09-15T06:24:10-03:00	ok
0.1.6.2	v0.49.1	767cada5d875c1ef76d54c0ef543e38a13b0eb8e	2020-09-15T07:00:53-03:00	ok
0.1.6.3	v0.49.2	6be343410b364f624de774dec9876c09d7a23b75	2020-09-15T07:08:18-03:00	ok
0.1.6.4	v0.49.3	ecd60b64103ff91a302555eeb6d9d5295ee90fbe	2020-09-15T07:11:27-03:00	ok
0.1.6.5	v0.49.4	587aa933e21cd1d55ea9c4a09aee0c9c3fde0a2a	2020-09-15T08:29:23-03:00	ok
0.1.6.6	v0.49.5	2c1a744d319714c4dfe76bcc24badaf443ab78a5	2020-09-15T08:43:04-03:00	ok
0.1.6.7	v0.49.6	46546f32b5de837effb24853c970808c87f59493	2020-09-15T08:57:08-03:00	ok
0.1.6.8	v0.49.7	31ead1014b8ba96b3cf5093b3021000fb0751edd	2020-09-15T09:01:15-03:00	ok
0.1.6.9	v0.49.8	fcd7e33f8d498fe5556c387b5b559aed7245dc9e	2020-09-15T09:19:21-03:00	ok
0.1.6.10	v0.50.0	9c89143dcf4f6f60e0a1ec27b485af7e66570ef4	2020-09-15T13:53:01-03:00	ok
0.1.6.11	v0.51.0	bdf42611dc69cb350c69be3b10fc0647e992a266	2020-09-15T14:44:01-03:00	ok
